Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,97.500000,99.940002,95.300003,96.000000,92.247681,49785
2021-09-29,96.000000,96.250000,94.000000,95.500000,91.767220,34717
2021-09-30,95.500000,94.059998,94.000000,95.500000,91.767220,4000
2021-10-01,95.500000,94.888000,94.000000,95.500000,91.767220,28244
2021-10-04,95.500000,94.888000,94.500000,95.500000,91.767220,7753
2021-10-05,95.500000,95.500000,94.888000,97.500000,93.689049,31793
2021-10-06,97.500000,97.500000,95.000000,97.500000,93.689049,40348
2021-10-07,97.500000,95.000000,95.000000,97.500000,93.689049,1306
2021-10-08,97.500000,97.500000,97.500000,97.500000,93.689049,0
2021-10-11,97.500000,95.099998,95.000000,97.500000,93.689049,2540
2021-10-12,97.500000,97.500000,97.500000,97.500000,93.689049,0
2021-10-13,97.500000,100.068001,99.500000,97.500000,93.689049,6046
2021-10-14,97.500000,100.000000,95.000000,95.000000,91.286766,92806
2021-10-15,95.000000,94.000000,94.000000,95.000000,91.286766,48205
2021-10-18,95.000000,95.000000,94.000000,95.000000,91.286766,10754
2021-10-19,95.000000,96.000000,96.000000,95.500000,91.767220,10416
2021-10-20,95.500000,95.989998,93.300003,95.500000,91.767220,28597
2021-10-21,95.500000,97.900002,95.000000,95.500000,91.767220,41712
2021-10-22,95.500000,98.000000,94.500000,95.500000,91.767220,15448
2021-10-25,95.500000,98.000000,94.500000,95.500000,91.767220,12121
2021-10-26,95.500000,95.000000,93.500000,94.000000,90.325851,49155
2021-10-27,94.000000,94.959999,93.000000,94.000000,90.325851,18215
2021-10-28,94.000000,94.000000,94.000000,94.000000,90.325851,0
2021-10-29,94.000000,94.000000,93.000000,94.000000,90.325851,15634
2021-11-01,94.000000,94.000000,93.000000,94.000000,90.325851,6097
2021-11-02,95.500000,98.000000,93.500000,94.000000,90.325851,36872
2021-11-03,94.000000,100.000000,93.769997,99.500000,95.610870,22217
2021-11-04,99.500000,100.000000,97.000000,97.500000,93.689049,12423
2021-11-05,97.500000,100.000000,100.000000,97.500000,93.689049,5990
2021-11-08,97.500000,101.919998,98.080002,101.000000,97.052246,33027
2021-11-09,106.500000,109.500000,105.000000,106.000000,101.856812,294116
2021-11-10,106.000000,105.040001,100.660004,101.500000,97.532700,33047
2021-11-11,101.500000,109.175003,101.500000,105.000000,100.895897,62309
